motor_id,sensor_id,timestamp,temp_sensor,vib_x,vib_y,vib_z,battery_v,fft_size,bin_size,vib_rms_3d,vib_radiale,vib_axiale,vib_ratio_az,vib_aniso,vib_3d_mean,vib_3d_max,vib_3d_std,temp_trend,vibration,temperature,vib_exceed,score_if,combined_score,is_anomaly
1,68c11f06,2025-11-22 14:03:56,22.64,,,3.0,,4096.0,1000.0,3.0,0.0,3.0,10.0,1.7320508058368262,,,0.0,0.0,0.03,22.64,1.0,0.126629991960195,0.47597799517611705,False
1,68c11f06,2025-11-22 14:03:56,,4.0,,,,,,4.0,4.0,0.0,0.0,1.7320508062698394,,,0.0,0.0,0.04,22.64,1.0,0.07284849265558915,0.44370909559335353,False
1,68c11f06,2025-11-22 14:03:56,,,2.0,,,,,2.0,2.0,0.0,0.0,1.7320508049708014,3.0,4.0,1.0,0.0,0.02,22.64,1.0,0.0359566300279863,0.4215739780167918,False
1,68c11f06,2025-11-22 14:04:45,22.65,,,8.0,,4096.0,1000.0,8.0,0.0,8.0,10.0,1.7320508069193585,4.25,8.0,2.6299556396765835,0.0029999999999974062,0.08,22.65,1.0,0.14455834579409443,0.4867350074764567,False
1,68c11f06,2025-11-22 14:04:45,,5.0,,,,,,5.0,5.0,0.0,0.0,1.7320508065296465,4.4,8.0,2.3021728866442674,0.002999999999995837,0.05,22.65,1.0,0.03550530732332824,0.42130318439399694,False
1,68c11f06,2025-11-22 14:04:45,,,4.0,,,,,4.0,4.0,0.0,0.0,1.7320508062698394,4.333333333333333,8.0,2.065591117977289,0.0025714285714276103,0.04,22.65,1.0,0.030101306868869665,0.4180607841213218,False
1,68c11f06,2025-11-22 14:05:41,22.65,,,3.0,,4096.0,1000.0,3.0,0.0,3.0,10.0,1.7320508058368262,4.142857142857143,8.0,1.9518001458970664,0.002142857142856288,0.03,22.65,1.0,0.08264771616201741,0.4495886296972105,False
1,68c11f06,2025-11-22 14:05:41,,3.0,,,,,,3.0,3.0,0.0,0.0,1.7320508058368262,4.0,8.0,1.8516401995451028,0.0017857142857123445,0.03,22.65,1.0,0.023980706817049703,0.41438842409022986,False
1,68c11f06,2025-11-22 14:05:41,,,2.0,,,,,2.0,2.0,0.0,0.0,1.7320508049708014,3.7777777777777777,8.0,1.855921454276674,0.0015000000000022458,0.02,22.65,1.0,0.02884645965770609,0.4173078757946237,False
1,68c11f06,2025-11-22 14:06:37,,,2.0,,,,,2.0,2.0,0.0,0.0,1.7320508049708014,3.6,8.0,1.837873166945363,0.0012727272727277824,0.02,22.65,1.0,0.02884645965770609,0.4173078757946237,False
1,68c11f06,2025-11-22 14:06:37,22.65,,,5.0,,4096.0,1000.0,5.0,0.0,5.0,10.0,1.7320508065296465,3.8,8.0,1.8737959096740262,0.0009696969696959758,0.05,22.65,1.0,0.09524737554866651,0.4571484253291999,False
